Id;Nome;Curso;Password;Média;UC;Estatuto
A200141;João Antunes;LEI;senha142;13.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200142;Leonor Almeida;LEI;senha143;15.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200143;Hugo Gonçalves;LEI;senha144;14.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200144;Beatriz Monteiro;LEI;senha145;12.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200145;Guilherme Pereira;LEI;senha146;16.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200146;Sara Oliveira;LEI;senha147;12.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200147;Rafael Fernandes;LEI;senha148;14.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200148;Laura Nunes;LEI;senha149;13.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200149;Daniel Lopes;LEI;senha150;15.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200150;Joana Costa;LEI;senha151;14.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200151;Ricardo Martins;LEI;senha152;12.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200152;Ana Ribeiro;LEI;senha153;13.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200153;Pedro Nogueira;LEI;senha154;15.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200154;Marta Teixeira;LEI;senha155;14.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200155;Rui Cardoso;LEI;senha156;13.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200156;Sofia Monteiro;LEI;senha157;12.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200157;Gonçalo Costa;LEI;senha158;16.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200158;Leonor Santos;LEI;senha159;14.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200159;Hugo Fernandes;LEI;senha160;13.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200160;Tiago Gonçalves;LEI;senha161;15.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200161;Carla Marques;LEI;senha162;12.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200162;João Almeida;LEI;senha163;13.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200163;Bruno Pinto;LEI;senha164;15.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200164;Sara Martins;LEI;senha165;14.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200165;Ricardo Alves;LEI;senha166;13.0;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200166;Helena Costa;LEI;senha167;12.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200167;João Ribeiro;LEI;senha168;16.3;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200168;Mariana Lopes;LEI;senha169;14.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200169;André Nunes;LEI;senha170;12.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200170;Laura Oliveira;LEI;senha171;14.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200171;Tiago Cardoso;LEI;senha172;15.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200172;Ana Mendes;LEI;senha173;13.6;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200173;Pedro Fonseca;LEI;senha174;12.8;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200174;Inês Silva;LEI;senha175;16.2;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200175;Victor Lima;LEI;senha176;14.4;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200176;Carolina Marques;LEI;senha177;13.1;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200177;Hugo Pereira;LEI;senha178;14.7;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200178;Leonor Gomes;LEI;senha179;12.5;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
A200179;André Costa;LEI;senha180;13.9;Desenvolvimento de Sistemas de Software|Comunicações por Computador|Cálculo de Programas|Inteligência Artificial|Laboratórios de Informática 4|Sistemas Distribuídos;
